	# r     V(p)     V(n)     m*(p)/m     m*(n)/m    VC 
   0.12000E+02  -0.84443E-05  -0.17198E-04  -0.22166E-06  -0.21599E-06   0.23969E+01
   0.12100E+02  -0.70600E-05  -0.14524E-04  -0.18473E-06  -0.17994E-06   0.23773E+01
   0.12200E+02  -0.59059E-05  -0.12270E-04  -0.15404E-06  -0.15000E-06   0.23579E+01
   0.12300E+02  -0.49430E-05  -0.10371E-04  -0.12852E-06  -0.12511E-06   0.23388E+01
   0.12400E+02  -0.41393E-05  -0.87689E-05  -0.10729E-06  -0.10441E-06   0.23201E+01
   0.12500E+02  -0.34682E-05  -0.74176E-05  -0.89618E-07  -0.87187E-07   0.23016E+01
   0.12600E+02  -0.29073E-05  -0.62770E-05  -0.74896E-07  -0.72842E-07   0.22835E+01
   0.12700E+02  -0.24384E-05  -0.53138E-05  -0.62625E-07  -0.60890E-07   0.22656E+01
   0.12800E+02  -0.20462E-05  -0.45002E-05  -0.52392E-07  -0.50926E-07   0.22480E+01
   0.12900E+02  -0.17179E-05  -0.38126E-05  -0.43853E-07  -0.42615E-07   0.22306E+01
   0.13000E+02  -0.14430E-05  -0.32312E-05  -0.36725E-07  -0.35678E-07   0.22135E+01
   0.13100E+02  -0.12127E-05  -0.27395E-05  -0.30770E-07  -0.29886E-07   0.21967E+01
   0.13200E+02  -0.10197E-05  -0.23234E-05  -0.25794E-07  -0.25046E-07   0.21801E+01
   0.13300E+02  -0.85776E-06  -0.19712E-05  -0.21633E-07  -0.21001E-07   0.21638E+01
   0.13400E+02  -0.72190E-06  -0.16730E-05  -0.18151E-07  -0.17617E-07   0.21477E+01
   0.13500E+02  -0.60785E-06  -0.14203E-05  -0.15237E-07  -0.14785E-07   0.21319E+01
   0.13600E+02  -0.51205E-06  -0.12063E-05  -0.12797E-07  -0.12415E-07   0.21163E+01
   0.13700E+02  -0.43155E-06  -0.10248E-05  -0.10752E-07  -0.10429E-07   0.21009E+01
   0.13800E+02  -0.36387E-06  -0.87086E-06  -0.90383E-08  -0.87645E-08   0.20857E+01
   0.13900E+02  -0.30694E-06  -0.74029E-06  -0.76009E-08  -0.73691E-08   0.20707E+01
   0.14000E+02  -0.25904E-06  -0.62949E-06  -0.63948E-08  -0.61986E-08   0.20560E+01
   0.14100E+02  -0.21870E-06  -0.53544E-06  -0.53823E-08  -0.52162E-08   0.20415E+01
   0.14200E+02  -0.18473E-06  -0.45556E-06  -0.45320E-08  -0.43914E-08   0.20271E+01
   0.14300E+02  -0.15610E-06  -0.38772E-06  -0.38176E-08  -0.36985E-08   0.20130E+01
   0.14400E+02  -0.13196E-06  -0.33007E-06  -0.32171E-08  -0.31162E-08   0.19990E+01
   0.14500E+02  -0.11160E-06  -0.28106E-06  -0.27122E-08  -0.26266E-08   0.19853E+01
   0.14600E+02  -0.94418E-07  -0.23940E-06  -0.22873E-08  -0.22149E-08   0.19717E+01
   0.14700E+02  -0.79914E-07  -0.20396E-06  -0.19298E-08  -0.18684E-08   0.19583E+01
   0.14800E+02  -0.67665E-07  -0.17381E-06  -0.16287E-08  -0.15767E-08   0.19451E+01
   0.14900E+02  -0.57315E-07  -0.14816E-06  -0.13752E-08  -0.13310E-08   0.19321E+01
   0.15000E+02  -0.48566E-07  -0.12632E-06  -0.11615E-08  -0.11241E-08   0.19193E+01
   0.15100E+02  -0.41167E-07  -0.10772E-06  -0.98136E-09  -0.94963E-09   0.19066E+01
   0.15200E+02  -0.34908E-07  -0.91885E-07  -0.82946E-09  -0.80255E-09   0.18940E+01
   0.15300E+02  -0.29611E-07  -0.78391E-07  -0.70131E-09  -0.67848E-09   0.18817E+01
   0.15400E+02  -0.25126E-07  -0.66892E-07  -0.59316E-09  -0.57380E-09   0.18695E+01
   0.15500E+02  -0.21327E-07  -0.57090E-07  -0.50186E-09  -0.48542E-09   0.18575E+01
   0.15600E+02  -0.18108E-07  -0.48732E-07  -0.42474E-09  -0.41080E-09   0.18456E+01
   0.15700E+02  -0.15380E-07  -0.41605E-07  -0.35959E-09  -0.34776E-09   0.18338E+01
   0.15800E+02  -0.13066E-07  -0.35525E-07  -0.30453E-09  -0.29449E-09   0.18222E+01
   0.15900E+02  -0.11103E-07  -0.30337E-07  -0.25798E-09  -0.24946E-09   0.18108E+01
   0.16000E+02  -0.94378E-08  -0.25909E-07  -0.21861E-09  -0.21138E-09   0.17995E+01
   0.16100E+02  -0.80239E-08  -0.22130E-07  -0.18530E-09  -0.17916E-09   0.17883E+01
   0.16200E+02  -0.68231E-08  -0.18902E-07  -0.15711E-09  -0.15190E-09   0.17773E+01
   0.16300E+02  -0.58031E-08  -0.16146E-07  -0.13325E-09  -0.12883E-09   0.17664E+01
   0.16400E+02  -0.49363E-08  -0.13792E-07  -0.11304E-09  -0.10929E-09   0.17557E+01
   0.16500E+02  -0.41994E-08  -0.11780E-07  -0.95922E-10  -0.92741E-10   0.17450E+01
   0.16600E+02  -0.35728E-08  -0.10061E-07  -0.81416E-10  -0.78717E-10   0.17345E+01
   0.16700E+02  -0.30398E-08  -0.85919E-08  -0.69121E-10  -0.66832E-10   0.17242E+01
   0.16800E+02  -0.25863E-08  -0.73358E-08  -0.58695E-10  -0.56755E-10   0.17139E+01
   0.16900E+02  -0.22003E-08  -0.62618E-08  -0.49853E-10  -0.48209E-10   0.17038E+01
   0.17000E+02  -0.18716E-08  -0.53433E-08  -0.42352E-10  -0.40959E-10   0.16938E+01
   0.17100E+02  -0.15918E-08  -0.45577E-08  -0.35986E-10  -0.34806E-10   0.16839E+01
   0.17200E+02  -0.13534E-08  -0.38857E-08  -0.30582E-10  -0.29584E-10   0.16741E+01
   0.17300E+02  -0.11502E-08  -0.33108E-08  -0.25993E-10  -0.25150E-10   0.16644E+01
   0.17400E+02  -0.97710E-09  -0.28188E-08  -0.22095E-10  -0.21383E-10   0.16549E+01
   0.17500E+02  -0.82953E-09  -0.23978E-08  -0.18784E-10  -0.18183E-10   0.16454E+01
   0.17600E+02  -0.70372E-09  -0.20376E-08  -0.15969E-10  -0.15463E-10   0.16361E+01
   0.17700E+02  -0.59644E-09  -0.17293E-08  -0.13577E-10  -0.13151E-10   0.16268E+01
   0.17800E+02  -0.50496E-09  -0.14655E-08  -0.11542E-10  -0.11185E-10   0.16177E+01
   0.17900E+02  -0.42695E-09  -0.12397E-08  -0.98107E-11  -0.95114E-11   0.16087E+01
   0.18000E+02  -0.36042E-09  -0.10466E-08  -0.83374E-11  -0.80873E-11   0.15997E+01
   0.18100E+02  -0.30369E-09  -0.88143E-09  -0.70830E-11  -0.68747E-11   0.15909E+01
   0.18200E+02  -0.25534E-09  -0.74019E-09  -0.60144E-11  -0.58415E-11   0.15822E+01
   0.18300E+02  -0.21413E-09  -0.61949E-09  -0.51035E-11  -0.49607E-11   0.15735E+01
   0.18400E+02  -0.17903E-09  -0.51642E-09  -0.43266E-11  -0.42093E-11   0.15650E+01
   0.18500E+02  -0.14916E-09  -0.42849E-09  -0.36634E-11  -0.35675E-11   0.15565E+01
   0.18600E+02  -0.12377E-09  -0.35358E-09  -0.30967E-11  -0.30189E-11   0.15482E+01
   0.18700E+02  -0.10222E-09  -0.28987E-09  -0.26117E-11  -0.25493E-11   0.15399E+01
   0.18800E+02  -0.83971E-10  -0.23582E-09  -0.21960E-11  -0.21464E-11   0.15317E+01
   0.18900E+02  -0.68563E-10  -0.19012E-09  -0.18390E-11  -0.18001E-11   0.15236E+01
   0.19000E+02  -0.55607E-10  -0.15164E-09  -0.15315E-11  -0.15015E-11   0.15156E+01
   0.19100E+02  -0.44774E-10  -0.11945E-09  -0.12657E-11  -0.12431E-11   0.15077E+01
   0.19200E+02  -0.35786E-10  -0.92739E-10  -0.10349E-11  -0.10184E-11   0.14998E+01
   0.19300E+02  -0.28413E-10  -0.70841E-10  -0.83341E-12  -0.82173E-12   0.14920E+01
   0.19400E+02  -0.22461E-10  -0.53195E-10  -0.65619E-12  -0.64838E-12   0.14844E+01
   0.19500E+02  -0.17771E-10  -0.39337E-10  -0.49893E-12  -0.49410E-12   0.14767E+01
   0.19600E+02  -0.14190E-10  -0.28829E-10  -0.35784E-12  -0.35521E-12   0.14692E+01
   0.19700E+02  -0.11936E-10  -0.22248E-10  -0.22959E-12  -0.22845E-12   0.14618E+01
   0.19800E+02  -0.10614E-10  -0.16656E-10  -0.10669E-12  -0.10642E-12   0.14544E+01
   0.19900E+02  -0.53890E-11  -0.88861E-11  -0.13450E-13  -0.13450E-13   0.14471E+01
   0.20000E+02   0.47218E-12   0.13400E-10  -0.47857E-14  -0.47857E-14   0.14399E+01
