# r     V(p)     V(n)     m*(p)/m     m*(n)/m    VC 
   0.18300E+02  -0.10888E-13  -0.10888E-13   0.00000E+00   0.00000E+00   0.62945E+00
   0.18400E+02  -0.85650E-14  -0.85650E-14   0.00000E+00   0.00000E+00   0.62603E+00
   0.18500E+02  -0.67106E-14  -0.67106E-14   0.00000E+00   0.00000E+00   0.62264E+00
   0.18600E+02  -0.52310E-14  -0.52310E-14   0.00000E+00   0.00000E+00   0.61929E+00
   0.18700E+02  -0.40514E-14  -0.40514E-14   0.00000E+00   0.00000E+00   0.61598E+00
   0.18800E+02  -0.31119E-14  -0.31119E-14   0.00000E+00   0.00000E+00   0.61271E+00
   0.18900E+02  -0.23649E-14  -0.23649E-14   0.00000E+00   0.00000E+00   0.60946E+00
   0.19000E+02  -0.17723E-14  -0.17723E-14   0.00000E+00   0.00000E+00   0.60626E+00
   0.19100E+02  -0.13040E-14  -0.13040E-14   0.00000E+00   0.00000E+00   0.60308E+00
   0.19200E+02  -0.93579E-15  -0.93579E-15   0.00000E+00   0.00000E+00   0.59994E+00
   0.19300E+02  -0.64885E-15  -0.64885E-15   0.00000E+00   0.00000E+00   0.59683E+00
   0.19400E+02  -0.42824E-15  -0.42824E-15   0.00000E+00   0.00000E+00   0.59376E+00
   0.19500E+02  -0.26236E-15  -0.26236E-15   0.00000E+00   0.00000E+00   0.59071E+00
   0.19600E+02  -0.14231E-15  -0.14231E-15   0.00000E+00   0.00000E+00   0.58770E+00
   0.19700E+02  -0.61446E-16  -0.61446E-16   0.00000E+00   0.00000E+00   0.58471E+00
   0.19800E+02  -0.15037E-16  -0.15037E-16   0.00000E+00   0.00000E+00   0.58176E+00
   0.19900E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.57884E+00
   0.20000E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.57594E+00
