# r     V(p)     V(n)     m*(p)/m     m*(n)/m    VC 
   0.16000E+02  -0.40519E-08  -0.77126E-08   0.00000E+00   0.00000E+00   0.17996E+01
   0.16100E+02  -0.34427E-08  -0.65644E-08   0.00000E+00   0.00000E+00   0.17885E+01
   0.16200E+02  -0.29254E-08  -0.55873E-08   0.00000E+00   0.00000E+00   0.17774E+01
   0.16300E+02  -0.24860E-08  -0.47557E-08   0.00000E+00   0.00000E+00   0.17665E+01
   0.16400E+02  -0.21127E-08  -0.40477E-08   0.00000E+00   0.00000E+00   0.17558E+01
   0.16500E+02  -0.17954E-08  -0.34449E-08   0.00000E+00   0.00000E+00   0.17451E+01
   0.16600E+02  -0.15256E-08  -0.29316E-08   0.00000E+00   0.00000E+00   0.17346E+01
   0.16700E+02  -0.12963E-08  -0.24943E-08   0.00000E+00   0.00000E+00   0.17242E+01
   0.16800E+02  -0.11012E-08  -0.21217E-08   0.00000E+00   0.00000E+00   0.17140E+01
   0.16900E+02  -0.93525E-09  -0.18043E-08   0.00000E+00   0.00000E+00   0.17039E+01
   0.17000E+02  -0.79406E-09  -0.15338E-08   0.00000E+00   0.00000E+00   0.16938E+01
   0.17100E+02  -0.67389E-09  -0.13032E-08   0.00000E+00   0.00000E+00   0.16839E+01
   0.17200E+02  -0.57161E-09  -0.11067E-08   0.00000E+00   0.00000E+00   0.16741E+01
   0.17300E+02  -0.48453E-09  -0.93910E-09   0.00000E+00   0.00000E+00   0.16645E+01
   0.17400E+02  -0.41039E-09  -0.79622E-09   0.00000E+00   0.00000E+00   0.16549E+01
   0.17500E+02  -0.34725E-09  -0.67439E-09   0.00000E+00   0.00000E+00   0.16455E+01
   0.17600E+02  -0.29348E-09  -0.57051E-09   0.00000E+00   0.00000E+00   0.16361E+01
   0.17700E+02  -0.24769E-09  -0.48192E-09   0.00000E+00   0.00000E+00   0.16269E+01
   0.17800E+02  -0.20869E-09  -0.40638E-09   0.00000E+00   0.00000E+00   0.16177E+01
   0.17900E+02  -0.17547E-09  -0.34198E-09   0.00000E+00   0.00000E+00   0.16087E+01
   0.18000E+02  -0.14718E-09  -0.28707E-09   0.00000E+00   0.00000E+00   0.15998E+01
   0.18100E+02  -0.12310E-09  -0.24028E-09   0.00000E+00   0.00000E+00   0.15909E+01
   0.18200E+02  -0.10261E-09  -0.20042E-09   0.00000E+00   0.00000E+00   0.15822E+01
   0.18300E+02  -0.85178E-10  -0.16648E-09   0.00000E+00   0.00000E+00   0.15736E+01
   0.18400E+02  -0.70359E-10  -0.13760E-09   0.00000E+00   0.00000E+00   0.15650E+01
   0.18500E+02  -0.57774E-10  -0.11305E-09   0.00000E+00   0.00000E+00   0.15566E+01
   0.18600E+02  -0.47100E-10  -0.92209E-10   0.00000E+00   0.00000E+00   0.15482E+01
   0.18700E+02  -0.38063E-10  -0.74553E-10   0.00000E+00   0.00000E+00   0.15399E+01
   0.18800E+02  -0.30431E-10  -0.59631E-10   0.00000E+00   0.00000E+00   0.15317E+01
   0.18900E+02  -0.24006E-10  -0.47060E-10   0.00000E+00   0.00000E+00   0.15236E+01
   0.19000E+02  -0.18622E-10  -0.36519E-10   0.00000E+00   0.00000E+00   0.15156E+01
   0.19100E+02  -0.14139E-10  -0.27736E-10   0.00000E+00   0.00000E+00   0.15077E+01
   0.19200E+02  -0.10437E-10  -0.20481E-10   0.00000E+00   0.00000E+00   0.14998E+01
   0.19300E+02  -0.74193E-11  -0.14562E-10   0.00000E+00   0.00000E+00   0.14921E+01
   0.19400E+02  -0.50024E-11  -0.98204E-11   0.00000E+00   0.00000E+00   0.14844E+01
   0.19500E+02  -0.31194E-11  -0.61248E-11   0.00000E+00   0.00000E+00   0.14768E+01
   0.19600E+02  -0.17158E-11  -0.33692E-11   0.00000E+00   0.00000E+00   0.14692E+01
   0.19700E+02  -0.74833E-12  -0.14696E-11   0.00000E+00   0.00000E+00   0.14618E+01
   0.19800E+02  -0.18426E-12  -0.36189E-12   0.00000E+00   0.00000E+00   0.14544E+01
   0.19900E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.14471E+01
   0.20000E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.14399E+01
