# r     V(p)     V(n)     m*(p)/m     m*(n)/m    VC 
   0.10300E+02  -0.15864E-04  -0.22538E-04  -0.39493E-06  -0.39493E-06   0.11154E+01
   0.10400E+02  -0.13110E-04  -0.18754E-04  -0.32402E-06  -0.32402E-06   0.11048E+01
   0.10500E+02  -0.10839E-04  -0.15613E-04  -0.26600E-06  -0.26600E-06   0.10944E+01
   0.10600E+02  -0.89655E-05  -0.13004E-04  -0.21850E-06  -0.21850E-06   0.10842E+01
   0.10700E+02  -0.74192E-05  -0.10836E-04  -0.17958E-06  -0.17958E-06   0.10742E+01
   0.10800E+02  -0.61423E-05  -0.90334E-05  -0.14768E-06  -0.14768E-06   0.10644E+01
   0.10900E+02  -0.50874E-05  -0.75340E-05  -0.12152E-06  -0.12152E-06   0.10547E+01
   0.11000E+02  -0.42154E-05  -0.62861E-05  -0.10004E-06  -0.10004E-06   0.10452E+01
   0.11100E+02  -0.34944E-05  -0.52472E-05  -0.82407E-07  -0.82407E-07   0.10359E+01
   0.11200E+02  -0.28979E-05  -0.43818E-05  -0.67916E-07  -0.67916E-07   0.10267E+01
   0.11300E+02  -0.24042E-05  -0.36606E-05  -0.56003E-07  -0.56003E-07   0.10177E+01
   0.11400E+02  -0.19954E-05  -0.30593E-05  -0.46203E-07  -0.46203E-07   0.10089E+01
   0.11500E+02  -0.16567E-05  -0.25578E-05  -0.38137E-07  -0.38137E-07   0.10002E+01
   0.11600E+02  -0.13761E-05  -0.21393E-05  -0.31494E-07  -0.31494E-07   0.99163E+00
   0.11700E+02  -0.11434E-05  -0.17899E-05  -0.26022E-07  -0.26022E-07   0.98322E+00
   0.11800E+02  -0.95048E-06  -0.14982E-05  -0.21510E-07  -0.21510E-07   0.97495E+00
   0.11900E+02  -0.79037E-06  -0.12544E-05  -0.17789E-07  -0.17789E-07   0.96682E+00
   0.12000E+02  -0.65747E-06  -0.10507E-05  -0.14719E-07  -0.14719E-07   0.95882E+00
   0.12100E+02  -0.54711E-06  -0.88041E-06  -0.12184E-07  -0.12184E-07   0.95095E+00
   0.12200E+02  -0.45544E-06  -0.73795E-06  -0.10090E-07  -0.10090E-07   0.94320E+00
   0.12300E+02  -0.37926E-06  -0.61874E-06  -0.83593E-08  -0.83593E-08   0.93558E+00
   0.12400E+02  -0.31593E-06  -0.51896E-06  -0.69287E-08  -0.69287E-08   0.92808E+00
   0.12500E+02  -0.26327E-06  -0.43542E-06  -0.57453E-08  -0.57453E-08   0.92070E+00
   0.12600E+02  -0.21945E-06  -0.36543E-06  -0.47660E-08  -0.47660E-08   0.91343E+00
   0.12700E+02  -0.18299E-06  -0.30679E-06  -0.39553E-08  -0.39553E-08   0.90627E+00
   0.12800E+02  -0.15264E-06  -0.25764E-06  -0.32838E-08  -0.32838E-08   0.89923E+00
   0.12900E+02  -0.12736E-06  -0.21643E-06  -0.27273E-08  -0.27273E-08   0.89229E+00
   0.13000E+02  -0.10630E-06  -0.18186E-06  -0.22661E-08  -0.22661E-08   0.88546E+00
   0.13100E+02  -0.88752E-07  -0.15286E-06  -0.18836E-08  -0.18836E-08   0.87873E+00
   0.13200E+02  -0.74123E-07  -0.12852E-06  -0.15662E-08  -0.15662E-08   0.87210E+00
   0.13300E+02  -0.61924E-07  -0.10809E-06  -0.13028E-08  -0.13028E-08   0.86557E+00
   0.13400E+02  -0.51748E-07  -0.90925E-07  -0.10841E-08  -0.10841E-08   0.85913E+00
   0.13500E+02  -0.43257E-07  -0.76509E-07  -0.90240E-09  -0.90240E-09   0.85279E+00
   0.13600E+02  -0.36169E-07  -0.64395E-07  -0.75144E-09  -0.75144E-09   0.84654E+00
   0.13700E+02  -0.30252E-07  -0.54213E-07  -0.62595E-09  -0.62595E-09   0.84038E+00
   0.13800E+02  -0.25310E-07  -0.45652E-07  -0.52159E-09  -0.52159E-09   0.83431E+00
   0.13900E+02  -0.21181E-07  -0.38453E-07  -0.43478E-09  -0.43478E-09   0.82833E+00
   0.14000E+02  -0.17730E-07  -0.32397E-07  -0.36254E-09  -0.36254E-09   0.82243E+00
   0.14100E+02  -0.14846E-07  -0.27301E-07  -0.30240E-09  -0.30240E-09   0.81661E+00
   0.14200E+02  -0.12434E-07  -0.23012E-07  -0.25231E-09  -0.25231E-09   0.81088E+00
   0.14300E+02  -0.10416E-07  -0.19401E-07  -0.21059E-09  -0.21059E-09   0.80522E+00
   0.14400E+02  -0.87286E-08  -0.16360E-07  -0.17582E-09  -0.17582E-09   0.79965E+00
   0.14500E+02  -0.73162E-08  -0.13799E-07  -0.14684E-09  -0.14684E-09   0.79414E+00
