# r     V(p)     V(n)     m*(p)/m     m*(n)/m    VC 
   0.12400E+02  -0.57080E-06  -0.57080E-06   0.00000E+00   0.00000E+00   0.23224E+01
   0.12500E+02  -0.46659E-06  -0.46659E-06   0.00000E+00   0.00000E+00   0.23038E+01
   0.12600E+02  -0.38149E-06  -0.38149E-06   0.00000E+00   0.00000E+00   0.22855E+01
   0.12700E+02  -0.31199E-06  -0.31199E-06   0.00000E+00   0.00000E+00   0.22675E+01
   0.12800E+02  -0.25520E-06  -0.25520E-06   0.00000E+00   0.00000E+00   0.22498E+01
   0.12900E+02  -0.20880E-06  -0.20880E-06   0.00000E+00   0.00000E+00   0.22323E+01
   0.13000E+02  -0.17088E-06  -0.17088E-06   0.00000E+00   0.00000E+00   0.22152E+01
   0.13100E+02  -0.13987E-06  -0.13987E-06   0.00000E+00   0.00000E+00   0.21983E+01
   0.13200E+02  -0.11451E-06  -0.11451E-06   0.00000E+00   0.00000E+00   0.21816E+01
   0.13300E+02  -0.93770E-07  -0.93770E-07   0.00000E+00   0.00000E+00   0.21652E+01
   0.13400E+02  -0.76802E-07  -0.76802E-07   0.00000E+00   0.00000E+00   0.21490E+01
   0.13500E+02  -0.62917E-07  -0.62917E-07   0.00000E+00   0.00000E+00   0.21331E+01
   0.13600E+02  -0.51552E-07  -0.51552E-07   0.00000E+00   0.00000E+00   0.21174E+01
   0.13700E+02  -0.42248E-07  -0.42248E-07   0.00000E+00   0.00000E+00   0.21020E+01
   0.13800E+02  -0.34630E-07  -0.34630E-07   0.00000E+00   0.00000E+00   0.20868E+01
   0.13900E+02  -0.28391E-07  -0.28391E-07   0.00000E+00   0.00000E+00   0.20717E+01
   0.14000E+02  -0.23280E-07  -0.23280E-07   0.00000E+00   0.00000E+00   0.20569E+01
   0.14100E+02  -0.19092E-07  -0.19092E-07   0.00000E+00   0.00000E+00   0.20424E+01
   0.14200E+02  -0.15661E-07  -0.15661E-07   0.00000E+00   0.00000E+00   0.20280E+01
   0.14300E+02  -0.12848E-07  -0.12848E-07   0.00000E+00   0.00000E+00   0.20138E+01
   0.14400E+02  -0.10543E-07  -0.10543E-07   0.00000E+00   0.00000E+00   0.19998E+01
   0.14500E+02  -0.86522E-08  -0.86522E-08   0.00000E+00   0.00000E+00   0.19860E+01
   0.14600E+02  -0.71018E-08  -0.71018E-08   0.00000E+00   0.00000E+00   0.19724E+01
   0.14700E+02  -0.58302E-08  -0.58302E-08   0.00000E+00   0.00000E+00   0.19590E+01
   0.14800E+02  -0.47870E-08  -0.47870E-08   0.00000E+00   0.00000E+00   0.19458E+01
   0.14900E+02  -0.39310E-08  -0.39310E-08   0.00000E+00   0.00000E+00   0.19327E+01
   0.15000E+02  -0.32286E-08  -0.32286E-08   0.00000E+00   0.00000E+00   0.19198E+01
   0.15100E+02  -0.26520E-08  -0.26520E-08   0.00000E+00   0.00000E+00   0.19071E+01
   0.15200E+02  -0.21787E-08  -0.21787E-08   0.00000E+00   0.00000E+00   0.18946E+01
   0.15300E+02  -0.17902E-08  -0.17902E-08   0.00000E+00   0.00000E+00   0.18822E+01
   0.15400E+02  -0.14711E-08  -0.14711E-08   0.00000E+00   0.00000E+00   0.18699E+01
   0.15500E+02  -0.12090E-08  -0.12090E-08   0.00000E+00   0.00000E+00   0.18579E+01
   0.15600E+02  -0.99373E-09  -0.99373E-09   0.00000E+00   0.00000E+00   0.18460E+01
   0.15700E+02  -0.81688E-09  -0.81688E-09   0.00000E+00   0.00000E+00   0.18342E+01
   0.15800E+02  -0.67157E-09  -0.67157E-09   0.00000E+00   0.00000E+00   0.18226E+01
   0.15900E+02  -0.55216E-09  -0.55216E-09   0.00000E+00   0.00000E+00   0.18111E+01
   0.16000E+02  -0.45402E-09  -0.45402E-09   0.00000E+00   0.00000E+00   0.17998E+01
   0.16100E+02  -0.37335E-09  -0.37335E-09   0.00000E+00   0.00000E+00   0.17886E+01
   0.16200E+02  -0.30703E-09  -0.30703E-09   0.00000E+00   0.00000E+00   0.17776E+01
   0.16300E+02  -0.25251E-09  -0.25251E-09   0.00000E+00   0.00000E+00   0.17667E+01
   0.16400E+02  -0.20767E-09  -0.20767E-09   0.00000E+00   0.00000E+00   0.17559E+01
   0.16500E+02  -0.17079E-09  -0.17079E-09   0.00000E+00   0.00000E+00   0.17453E+01
   0.16600E+02  -0.14046E-09  -0.14046E-09   0.00000E+00   0.00000E+00   0.17348E+01
   0.16700E+02  -0.11551E-09  -0.11551E-09   0.00000E+00   0.00000E+00   0.17244E+01
   0.16800E+02  -0.94983E-10  -0.94983E-10   0.00000E+00   0.00000E+00   0.17141E+01
   0.16900E+02  -0.78095E-10  -0.78095E-10   0.00000E+00   0.00000E+00   0.17040E+01
   0.17000E+02  -0.64198E-10  -0.64198E-10   0.00000E+00   0.00000E+00   0.16940E+01
   0.17100E+02  -0.52761E-10  -0.52761E-10   0.00000E+00   0.00000E+00   0.16840E+01
   0.17200E+02  -0.43348E-10  -0.43348E-10   0.00000E+00   0.00000E+00   0.16743E+01
   0.17300E+02  -0.35601E-10  -0.35601E-10   0.00000E+00   0.00000E+00   0.16646E+01
   0.17400E+02  -0.29224E-10  -0.29224E-10   0.00000E+00   0.00000E+00   0.16550E+01
   0.17500E+02  -0.23974E-10  -0.23974E-10   0.00000E+00   0.00000E+00   0.16456E+01
   0.17600E+02  -0.19652E-10  -0.19652E-10   0.00000E+00   0.00000E+00   0.16362E+01
   0.17700E+02  -0.16095E-10  -0.16095E-10   0.00000E+00   0.00000E+00   0.16270E+01
   0.17800E+02  -0.13165E-10  -0.13165E-10   0.00000E+00   0.00000E+00   0.16178E+01
   0.17900E+02  -0.10754E-10  -0.10754E-10   0.00000E+00   0.00000E+00   0.16088E+01
   0.18000E+02  -0.87688E-11  -0.87688E-11   0.00000E+00   0.00000E+00   0.15998E+01
   0.18100E+02  -0.71348E-11  -0.71348E-11   0.00000E+00   0.00000E+00   0.15910E+01
   0.18200E+02  -0.57900E-11  -0.57900E-11   0.00000E+00   0.00000E+00   0.15823E+01
   0.18300E+02  -0.46836E-11  -0.46836E-11   0.00000E+00   0.00000E+00   0.15736E+01
   0.18400E+02  -0.37736E-11  -0.37736E-11   0.00000E+00   0.00000E+00   0.15651E+01
   0.18500E+02  -0.30256E-11  -0.30256E-11   0.00000E+00   0.00000E+00   0.15566E+01
   0.18600E+02  -0.24112E-11  -0.24112E-11   0.00000E+00   0.00000E+00   0.15482E+01
   0.18700E+02  -0.19072E-11  -0.19072E-11   0.00000E+00   0.00000E+00   0.15400E+01
   0.18800E+02  -0.14943E-11  -0.14943E-11   0.00000E+00   0.00000E+00   0.15318E+01
   0.18900E+02  -0.11569E-11  -0.11569E-11   0.00000E+00   0.00000E+00   0.15237E+01
   0.19000E+02  -0.88206E-12  -0.88206E-12   0.00000E+00   0.00000E+00   0.15156E+01
   0.19100E+02  -0.65924E-12  -0.65924E-12   0.00000E+00   0.00000E+00   0.15077E+01
   0.19200E+02  -0.47984E-12  -0.47984E-12   0.00000E+00   0.00000E+00   0.14999E+01
   0.19300E+02  -0.33689E-12  -0.33689E-12   0.00000E+00   0.00000E+00   0.14921E+01
   0.19400E+02  -0.22475E-12  -0.22475E-12   0.00000E+00   0.00000E+00   0.14844E+01
   0.19500E+02  -0.13892E-12  -0.13892E-12   0.00000E+00   0.00000E+00   0.14768E+01
   0.19600E+02  -0.75883E-13  -0.75883E-13   0.00000E+00   0.00000E+00   0.14692E+01
   0.19700E+02  -0.32931E-13  -0.32931E-13   0.00000E+00   0.00000E+00   0.14618E+01
   0.19800E+02  -0.80837E-14  -0.80837E-14   0.00000E+00   0.00000E+00   0.14544E+01
   0.19900E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.14471E+01
   0.20000E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.14399E+01
